Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Bid,0,,,445,,,
Ask,0.01,,,440,,,
Bid,0,,,440,,,
Ask,0.01,,,435,,,
Bid,0,,,435,,,
Bid,0,,,430,,,
Ask,0.01,,,430,,,
Bid,0,,,425,,,
Ask,0.01,,,425,,,
Ask,2.13,,,410,,,
Bid,0,,,410,,,
Ask,1.26,,,405,,,
Bid,0,,,405,,,
Bid,0,,,400,,,
Ask,0.55,,,400,,,
Bid,0,,,395,,,
Ask,0.82,,,395,,,
Bid,0,,,390,,,87.15
Ask,0.71,,,390,,,90.6
Bid,0,,,385,,,
Ask,0.92,,,385,,,
Bid,0,,,380,,,
Ask,2.07,,,380,,,
Bid,0,,,375,,,72.15
Ask,2.04,,,375,,,75.6
Ask,0.05,,,370,,,70.6
Bid,0,,,370,,,67.15
Ask,0.4,2.13,,365,,,65.6
Bid,0,,,365,,,62.15
Bid,0,,,360,,,57.1
Ask,0.22,,,360,,,60.6
Ask,0.02,,,355,,,55.6
Bid,0,,,355,,,52.15
Ask,0.03,,,352.5,,,
Bid,0,,,352.5,,,
Ask,0.03,,,350,50.65,,50.6
Bid,0.01,,,350,47,,47.15
Ask,0.03,,,347.5,,,
Bid,0.01,,,347.5,,,
Ask,0.03,,,345,,,45.6
Bid,0.01,,,345,,,42.15
Ask,0.03,,,342.5,,,43.1
Bid,0.01,,,342.5,,,39.5
Bid,0.02,0,0,340,,,37.15
Ask,0.04,0.05,0.75,340,,,40.6
Bid,0.03,0,,337.5,,,34.5
Ask,0.04,0.05,,337.5,,,38.1
Ask,0.05,0.05,0.23,335,,,35.6
Bid,0.04,0,0,335,,,32.15
Bid,0.04,0,0,332.5,,,29.65
Ask,0.06,0.05,0.91,332.5,,,33.1
Bid,0.05,0.01,0,330,,,27.2
Ask,0.07,0.04,0.03,330,,,30.65
Bid,0.07,0.03,0,327.5,,,24.7
Ask,0.09,0.05,0.03,327.5,,,28.15
Ask,0.13,0.08,0.03,325,25.8,,25.85
Bid,0.11,0.02,0,325,22,,22.2
Bid,0.16,0.05,0,322.5,19.5,19.7,19.75
Ask,0.18,0.1,0.03,322.5,23.15,23.35,23.4
Ask,0.27,0.13,0.03,320,20.65,20.85,19.75
Bid,0.24,0.1,0,320,17.15,17.2,17.3
Bid,0.38,0.16,0,317.5,,,15.3
Ask,0.41,0.2,0.03,317.5,,,17.75
Ask,0.63,0.34,0.03,315,15.85,15.1,15.35
Bid,0.6,0.28,0.01,315,12,14.05,14.1
Bid,0.95,0.47,0.04,312.5,,,11.8
Ask,0.99,0.55,0.06,312.5,,,13.35
Bid,1.45,0.81,0.14,310,8.9,9.55,10.25
Ask,1.5,0.9,0.17,310,9.75,11.15,10.4
Bid,2.17,1.35,0.37,307.5,6.45,7.75,8.45
Ask,2.21,1.46,0.42,307.5,7.2,8,8.6
Bid,3.1,2.13,0.86,305,4.8,6.05,6.9
Ask,3.2,2.24,0.94,305,5,6.25,7.05
Ask,4.35,3.35,1.8,302.5,3.35,4.8,5.7
Bid,4.25,3.15,1.74,302.5,3.2,4.6,5.6
Bid,5.65,4.5,3,300,2.05,3.45,4.45
Ask,5.8,4.7,3.15,300,2.13,3.6,4.55
Ask,7.35,,4.85,297.5,1.33,2.69,3.65
Bid,7.25,,4.7,297.5,1.25,2.56,3.55
Ask,9.1,8.1,7.2,295,0.79,1.97,2.89
Bid,9,7.85,6.4,295,0.73,1.86,2.84
Bid,10.85,,7.15,292.5,0.41,1.32,2.23
Ask,11,,10.8,292.5,0.46,1.43,2.27
Ask,13,12.5,12.7,290,0.25,1.02,1.77
Bid,12.85,11.45,9.45,290,0.22,0.92,1.73
Bid,14.2,,,287.5,0.11,0.62,1.33
Ask,16.45,,,287.5,0.14,0.72,1.37
Bid,16.55,,14.55,285,0.06,0.42,1.01
Ask,18.35,,17.85,285,0.09,0.49,1.05
Bid,18.5,,,282.5,0.02,0.28,0.76
Ask,21.2,,,282.5,0.06,0.35,0.8
Bid,21.5,,,280,0.01,0.18,0.57
Ask,23.15,,,280,0.03,0.22,0.6
Ask,25.95,,,277.5,0.04,0.15,0.45
Bid,22.35,,,277.5,0,0.11,0.42
Ask,28.35,,27.85,275,0.01,0.11,0.33
Bid,24.85,,24.6,275,0,0.06,0.3
Ask,,,29.85,272.5,0.01,0.09,0.24
Bid,,,26.8,272.5,0,0.03,0.21
Bid,29.7,,,270,0,0.02,0.15
Ask,33.15,,,270,0.01,0.08,0.17
Ask,35.65,,,267.5,,0.07,0.13
Bid,32.15,,,267.5,,0.01,0.1
Bid,34.75,34.5,34.4,265,0,0,0.07
Ask,38.1,37.95,38,265,0.01,0.04,0.09
Ask,39.85,,,262.5,,,0.07
Bid,37.1,,,262.5,,,0.05
Ask,43.05,42.9,,260,,0.04,0.05
Bid,39.65,39.45,,260,,0,0.04
Ask,45.55,,,257.5,,0.05,0.05
Bid,42.1,,,257.5,,0,0.02
Ask,48.05,,,255,,,0.04
Bid,44.6,,,255,,,0.01
Bid,,,,252.5,0,,0.01
Ask,,,,252.5,0.01,,0.03
Ask,53.05,,,250,0.01,0.03,0.03
Bid,49.65,,,250,0,0.01,0.0
Bid,54.6,,,245,,,0.0
Ask,58.15,,,245,,,0.05
Ask,63.05,,,240,,,0.2
Bid,59.55,,,240,,,0.0
Ask,68.1,,,235,,,0.23
Bid,64.6,,,235,,,0.0
Ask,73.1,,,230,,,0.01
Bid,69.55,,,230,,,0.0
Bid,74.55,,,225,,,0.0
Ask,78.2,,,225,,,0.91
Ask,83.2,,,220,,,0.01
Bid,79.55,,,220,,,0.0
Bid,84.55,,,215,,,0.0
Ask,88.2,,,215,,,2.11
Ask,93.2,,,210,,,1.79
Bid,89.55,,,210,,,0.0
Bid,94.55,,,205,,,0.0
Ask,98.2,,,205,,,1.97
Bid,99.5,,,200,,,0.0
Ask,103.2,,,200,,,0.01
Bid,104.5,,,195,,,0.0
Ask,108.2,,,195,,,0.49
Bid,109.55,,,190,,,0.0
Ask,113.2,,,190,,,0.4
Bid,,,,185,,,0.0
Ask,,,,185,,,2.13
Bid,119.5,,,180,,,0.0
Ask,123.15,,,180,,,2.13
Bid,,,,175,,,0.0
Ask,,,,175,,,2.13
Ask,133.15,,,170,,,2.13
Bid,129.5,,,170,,,0.0
Bid,134.5,,,165,,,0.0
Ask,138.1,,,165,,,2.05
Bid,,,,160,,,0.0
Ask,,,,160,,,2.13
Bid,149.5,,,150,,,0.0
Ask,153.1,,,150,,,1.03
Ask,158.15,,,145,,,
Bid,154.5,,,145,,,
Bid,159.5,,,140,,,
Ask,163.15,,,140,,,
Ask,183.1,,,120,,,
Bid,179.5,,,120,,,
Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Ask,0.01,,,400,,,
Bid,0,,,400,,,
Ask,0.31,,,350,,,
Bid,0,,,350,,,
Bid,0,,,345,,,
Ask,0.31,,,345,,,
Ask,0.02,,,340,,,
Bid,0,,,340,,,
Ask,0.2,,,335,,,
Bid,0,,,335,,,
Ask,0.04,,,330,,,
Bid,0,,,330,,,
Bid,0,,,325,,,
Ask,0.01,,,325,,,
Ask,0.31,,,320,,,73.8
Bid,0,,,320,,,71.2
Bid,0,,,315,,,66.2
Ask,0.3,,,315,,,68.75
Bid,0,,,310,,,61.0
Ask,0.02,,,310,,,63.8
Bid,0,,,305,,,56.2
Ask,0.06,,,305,,,58.75
Bid,0,,,300,,,51.2
Ask,0.01,,,300,,,53.75
Bid,0,,,295,,,46.2
Ask,0.02,,0.24,295,,,48.75
Ask,0.02,0.03,0.01,290,,,43.75
Bid,0,0,,290,,,41.2
Ask,0.02,0.04,0.01,285,38.75,,38.8
Bid,0.01,,,285,36.2,,35.9
Bid,0.01,0,,282.5,,,33.7
Ask,0.02,0.04,,282.5,,,36.25
Ask,0.02,0.04,0.24,280,33.75,,33.75
Bid,0.01,0,,280,31.2,,31.2
Bid,0.02,0,0,277.5,,,28.7
Ask,0.03,0.04,0.01,277.5,,,31.25
Ask,0.04,0.04,0.01,275,28.75,,28.8
Bid,0.03,0,0,275,26.2,,26.0
Ask,0.05,0.02,0.02,272.5,,26.1,26.25
Bid,0.04,0,0,272.5,,23.7,23.5
Ask,0.06,0.04,0.01,270,23.75,23.75,23.7
Bid,0.05,0.02,0,270,21.2,21.2,20.9
Ask,0.09,0.06,0.03,267.5,21.25,,21.0
Bid,0.07,0.03,0,267.5,18.55,,18.5
Ask,0.13,0.08,0.01,265,18.65,18.8,18.55
Bid,0.11,0.05,0,265,16.1,16.6,16.6
Ask,0.2,0.13,0.02,262.5,16.25,16.3,15.25
Bid,0.18,0.08,0.01,262.5,13.3,14.05,13.4
Ask,0.35,0.2,0.04,260,13.75,13.9,12.45
Bid,0.33,0.15,0.03,260,11.5,11.8,11.8
Ask,0.74,0.37,0.07,257.5,10.95,11.3,10.4
Bid,0.6,0.31,0.04,257.5,8.95,9.35,8.8
Bid,0.97,0.62,0.15,255,6.3,7.25,7.3
Ask,1.1,0.68,0.16,255,7.85,8,7.95
Ask,1.93,1.31,0.45,252.5,5.2,5.7,6.2
Bid,1.82,1.19,0.39,252.5,3.95,5.35,5.6
Bid,2.85,2.1,1.02,250,2.75,3.8,4.15
Ask,3,2.2,1.09,250,2.96,4.1,4.7
Bid,4.15,3.35,2.19,247.5,1.54,2.63,3.0
Ask,4.6,3.6,2.3,247.5,1.6,2.8,3.5
Bid,5.75,4.95,3.8,245,0.74,1.74,2.41
Ask,6,5.2,4.05,245,0.8,1.9,2.59
Bid,7.55,,,242.5,0.32,1.15,1.74
Ask,8.25,,,242.5,0.39,1.28,1.91
Bid,9.55,7.7,7.8,240,0.16,0.75,1.22
Ask,10.35,9.4,8.45,240,0.19,0.84,1.4
Ask,12.3,11.65,11.15,237.5,0.1,0.58,1.03
Bid,10.75,10.05,9.25,237.5,0.06,0.51,0.85
Ask,14.2,14.65,13.95,235,0.07,0.4,0.76
Bid,12.95,11.9,11.3,235,0.06,0.31,0.59
Ask,,,16.25,232.5,0.05,0.28,0.56
Bid,,,13.8,232.5,0.03,0.24,0.43
Bid,18.25,16.5,16.25,230,0.01,0.16,0.38
Ask,18.85,18.8,19.2,230,0.04,0.21,0.41
Bid,,,,227.5,0.01,0.11,0.23
Ask,,,,227.5,0.03,0.16,0.31
Ask,24.3,,24.4,225,0.03,0.12,0.23
Bid,22.3,,21.25,225,0,0.07,0.12
Ask,26.35,,,222.5,0.03,0.1,0.17
Bid,24.1,,,222.5,0,0.05,0.08
Bid,26.5,26.35,26.25,220,0,0.03,0.11
Ask,28.8,28.65,29.35,220,0.03,0.08,0.13
Ask,31.4,,,217.5,,0.07,0.1
Bid,29,,,217.5,,0.02,0.08
Ask,33.85,34.4,,215,0.03,0.06,0.08
Bid,31.45,31.3,,215,0,0.01,0.03
Bid,36.45,,36.2,210,0,0.02,0.04
Ask,38.55,,39.35,210,0.19,0.05,0.06
Ask,43.7,,,205,0.24,0.05,0.05
Bid,41.35,,,205,0,0,0.03
Bid,46.35,,,200,0,0,0.01
Ask,49.15,,,200,0.24,0.04,0.04
Ask,54.15,,,195,,,0.03
Bid,51.35,,,195,,,0.01
Bid,56.4,,,190,,0,0.0
Ask,58.4,,,190,0.05,0.18,0.15
Ask,63.95,,,185,,,0.3
Bid,61.4,,,185,,,0.0
Bid,66.35,,,180,,,0.0
Ask,68.95,,,180,,,0.3
Ask,74.4,,,175,,,0.02
Bid,71.35,,,175,,,0.0
Bid,,,,170,,,0.0
Ask,,,,170,,,0.31
Ask,,,,165,,,0.31
Bid,86.3,,,160,,,0.0
Ask,89.45,,,160,,,0.31
Bid,,,,155,,,0.0
Ask,,,,155,,,0.31
Bid,,,,150,,,0.0
Ask,,,,150,,,0.31
Bid,,,,145,,,0.0
Ask,,,,145,,,0.21
Bid,126.3,,,120,,,0.0
Ask,128.9,,,120,,,0.01
Ask,,,,110,,,0.01
Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Bid,,,,610,,,226.95
Ask,,,,610,,,230.25
Ask,0.01,,,600,,,
Bid,0,,,600,,,
Ask,2.13,,,580,,,
Bid,0,,,580,,,
Ask,2.13,,,570,,,
Bid,0,,,570,,,
Bid,0,,,560,,,
Ask,2.13,,,560,,,
Bid,0,,,555,,,
Ask,2.13,,,555,,,
Ask,2.13,,,550,,,
Bid,0,,,550,,,
Ask,2.13,,,545,,,165.25
Bid,0,,,545,,,162.05
Bid,0,,,540,,,157.0
Ask,2.13,,,540,,,160.25
Bid,0,,,535,,,152.0
Ask,0.35,,,535,,,155.25
Bid,0,,,530,,,147.0
Ask,2.13,,,530,,,150.25
Bid,0,,,525,,,142.0
Ask,2.02,,,525,,,145.25
Bid,0,,,520,,,137.2
Ask,1.72,,,520,,,140.25
Bid,0,,,515,,,131.85
Ask,2.13,,,515,,,135.25
Ask,2.13,,,510,,,
Bid,0,,,510,,,
Ask,0.45,,,505,,,111.4
Bid,0,,,505,,,107.75
Bid,0.01,,,500,,,117.3
Ask,0.12,,,500,,,119.95
Ask,0.03,,,495,,,115.25
Bid,0,,,495,,,112.15
Ask,0.03,,,490,,,110.25
Bid,0.01,,,490,,,107.05
Bid,0.01,,,485,,,102.0
Ask,0.03,,,485,,,105.25
Bid,0.01,,,480,,,97.0
Ask,0.04,2.13,,480,,,100.25
Bid,0.01,,,475,,,92.05
Ask,0.04,,1.76,475,,,95.25
Bid,0.02,,,470,,,87.05
Ask,0.04,,,470,,,90.25
Bid,0.02,,,465,,,82.05
Ask,0.04,,,465,,,85.25
Bid,0.02,,,460,,,77.0
Ask,0.04,0.06,,460,,,80.25
Bid,0.02,,,455,,,72.0
Ask,0.05,0.06,0.01,455,,,75.25
Bid,0.03,0,0,450,,67,67.15
Ask,0.04,0.02,0.04,450,,70.25,70.25
Bid,0.03,,,447.5,64.55,,
Ask,0.06,,,447.5,67.75,,
Bid,0.03,0,,445,62.2,,62.4
Ask,0.06,0.07,0.04,445,65.25,,64.9
Ask,0.06,,,442.5,,,
Bid,0.03,,,442.5,,,
Bid,0.04,0,0,440,,,57.15
Ask,0.05,0.07,0.03,440,,,60.25
Ask,0.07,,0.03,437.5,,,57.75
Bid,0.04,,0,437.5,,,54.5
Bid,0.04,0.01,0,435,,,51.95
Ask,0.07,0.07,0.04,435,,,55.25
Ask,0.08,0.07,0.05,432.5,,,52.75
Bid,0.05,0.01,0,432.5,,,49.55
Bid,0.05,0.01,0.01,430,47.1,,47.0
Ask,0.08,0.08,0.05,430,50.25,,50.25
Bid,0.06,0.01,0.01,427.5,,,44.45
Ask,0.09,0.06,0.05,427.5,,,47.75
Ask,0.08,0.05,0.02,425,45.25,,45.25
Bid,0.07,0.01,0.01,425,42.15,,42.05
Bid,0.08,0.01,0.01,422.5,39.6,,39.7
Ask,0.11,0.09,0.05,422.5,42.75,,42.75
Bid,0.09,0.03,0.01,420,37.05,36.85,37.5
Ask,0.12,0.09,0.05,420,40.25,40.25,40.25
Ask,0.14,0.1,0.05,417.5,37.75,37.75,37.75
Bid,0.11,0.03,0.01,417.5,34.35,34.8,34.9
Bid,0.13,0.05,0.02,415,31.85,32.35,32.55
Ask,0.16,0.11,0.05,415,35.25,35.25,35.25
Ask,0.18,0.12,0.06,412.5,,32.75,32.8
Bid,0.15,0.07,0.02,412.5,,29.8,30.05
Ask,0.22,0.14,0.06,410,30.25,30.25,28.85
Bid,0.19,0.07,0.02,410,27.6,27.45,27.45
Bid,0.25,0.09,0.02,407.5,24.35,25,25.2
Ask,0.28,0.14,0.06,407.5,27.75,27.75,27.3
Bid,0.33,0.13,0.03,405,22.55,22.6,22.5
Ask,0.37,0.19,0.05,405,25.25,25.3,23.9
Bid,0.45,0.17,0.04,402.5,20.05,19.95,20.1
Ask,0.49,0.25,0.07,402.5,22.75,22.85,21.6
Bid,0.64,0.27,0.05,400,17.25,17.9,17.7
Ask,0.68,0.33,0.09,400,19.6,19.95,19.1
Ask,0.95,0.51,0.1,397.5,16.55,17.9,16.95
Bid,0.9,0.42,0.07,397.5,14.9,15.35,15.7
Bid,1.28,0.63,0.1,395,12.9,12.95,13.4
Ask,1.32,0.72,0.12,395,13.65,14.35,14.85
Ask,1.84,,0.22,392.5,11.5,12.25,12.25
Bid,1.79,,0.19,392.5,9.85,10.55,12.05
Ask,2.52,1.55,0.42,390,9.2,9.65,10.4
Bid,2.45,1.45,0.37,390,8.2,9.3,10.25
Ask,3.4,2.25,,387.5,6.8,7.8,8.75
Bid,3.25,2.13,,387.5,5.35,7.55,8.55
Bid,4.3,3,1.38,385,4.35,5.95,7.1
Ask,4.45,3.2,1.47,385,4.55,6.2,7.25
Bid,5.55,,,382.5,2.94,4.65,5.85
Ask,5.65,,,382.5,3.1,4.85,6.0
Ask,7.1,5.8,3.95,380,1.99,3.8,4.9
Bid,6.95,5.6,3.85,380,1.89,3.55,4.75
Bid,8.55,,,377.5,1.18,2.69,3.85
Ask,8.7,,,377.5,1.28,2.89,4.0
Bid,10.3,9,7.65,375,0.74,2.01,3.1
Ask,10.45,9.3,7.85,375,0.82,2.2,3.25
Ask,12.35,,,372.5,0.54,1.66,2.58
Bid,12.15,,,372.5,0.46,1.49,2.51
Bid,14.15,12.5,11.5,370,0.31,1.09,2.0
Ask,14.35,14.2,12.95,370,0.36,1.25,2.07
Bid,,14.4,12.85,367.5,0.2,0.83,1.58
Ask,,16.25,15.5,367.5,0.25,0.93,1.65
Bid,16.5,15.6,,365,0.15,0.6,1.24
Ask,19.05,18.25,,365,0.19,0.7,1.29
Ask,,,,362.5,,0.52,1.01
Bid,,,,362.5,,0.42,0.96
Ask,23.8,,,360,0.12,0.36,0.77
Bid,22.35,,,360,0.1,0.32,0.74
Bid,23.15,,,357.5,0.06,0.21,0.55
Ask,26.05,,,357.5,0.1,0.3,0.59
Ask,28.1,27.8,,355,0.09,0.23,0.44
Bid,26.8,25.05,,355,0.04,0.17,0.4
Bid,27.85,,,352.5,,0.1,0.29
Ask,31.25,,,352.5,,0.19,0.32
Bid,30.3,30.05,,350,0.02,0.08,0.22
Ask,32.95,32.65,,350,0.05,0.15,0.24
Bid,33.05,,,347.5,,,0.14
Ask,35.55,,,347.5,,,0.17
Bid,35.15,34.9,,345,,0.04,0.1
Ask,37.9,37.75,,345,,0.11,0.13
Bid,40.1,,,340,,0.02,0.05
Ask,42.85,,,340,,0.08,0.08
Bid,45.05,44.9,,335,,0,0.02
Ask,47.85,47.8,,335,,0.05,0.05
Bid,50.05,,,330,,,0.01
Ask,52.8,,,330,,,0.04
Ask,57.8,,,325,,,0.03
Bid,55.05,,,325,,,0.01
Bid,60.05,,,320,,,0.0
Ask,63.25,,,320,,,0.58
Bid,70,,,310,,,0.0
Ask,73.25,,,310,,,0.03
Bid,80,,,300,,,0.0
Ask,83.4,,,300,,,0.05
Ask,93.35,,,290,,,1.39
Bid,90,,,290,,,0.01
Bid,,,,280,,,0.0
Ask,,,,280,,,0.04
Ask,113.4,,,270,,,0.02
Bid,110,,,270,,,0.0
Chain,CE_2026-03-27,CE_2026-03-25,CE_2026-03-23,strikePrice,PE_2026-03-23,PE_2026-03-25,PE_2026-03-27
Bid,0,,,335,,,
Ask,0.16,,,335,,,
Ask,0.16,,,325,,,
Bid,0,,,325,,,
Ask,0.16,,,320,,,
Bid,0,,,320,,,
Ask,0.16,,,310,,,
Bid,0,,,310,,,
Bid,0,,,305,,,
Ask,0.31,,,305,,,
Bid,0,,,300,,,
Ask,0.31,,,300,,,
Ask,0.31,,,295,,,
Bid,0,,,295,,,
Ask,0.29,,,285,,,
Bid,0,,,285,,,
Bid,0,,,280,,,
Ask,0.28,,,280,,,
Bid,0,,,275,,,
Ask,0.27,,,275,,,
Bid,0,,,270,,,
Ask,0.01,,,270,,,
Bid,0,,,265,,,58.5
Ask,0.01,,,265,,,61.55
Bid,0,,,260,,,53.15
Ask,0.01,,,260,,,56.55
Bid,0,,,255,,,48.45
Ask,0.02,,,255,,,51.55
Ask,0.03,,0.12,250,46.55,,46.55
Bid,0.01,,,250,43.15,,43.5
Ask,0.03,0.04,0.04,245,,,41.55
Bid,0.02,0,0,245,,,38.15
Ask,0.03,0.04,0.02,240,,,36.55
Bid,0.02,0,0,240,,,33.3
Ask,0.04,,,237.5,,,34.05
